nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /static/css/main.e6a24495.css
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /static/js/main.2f63859d.js
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /static/css/main.e6a24495.css.map
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /static/js/main.2f63859d.js.map
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 10:01:03 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 10:01:03 AM 127.0.0.1 Returned 304 in 1 ms
